frame,clip,MSE,PSNR,SSIM
140,SVD_rank10,0.0,inf,1.0
140,batch_rank10,188.4201,25.379531860351562,0.859282373794396
141,PCA_rank10,44.81344,31.616722106933594,0.9553227435290871
141,SVD_rank10,0.0,inf,1.0
141,batch_rank10,229.47989,24.52335548400879,0.8474553203152262
142,PCA_rank10,11.368385,37.57381820678711,0.9847388602537381
142,SVD_rank10,0.0,inf,1.0
142,batch_rank10,203.80225,25.038715362548828,0.8541459981726524
143,PCA_rank10,9.61052,38.3033332824707,0.986888276721717
143,SVD_rank10,0.0,inf,1.0
143,batch_rank10,195.26854,25.22447967529297,0.8497504229818629
144,PCA_rank10,3.203125,43.07506561279297,0.9918829604419834
144,SVD_rank10,0.0,inf,1.0
144,batch_rank10,256.59885,24.038257598876953,0.8218684825650749
145,PCA_rank10,10.723229,37.827545166015625,0.9844270477841761
145,SVD_rank10,0.0,inf,1.0
145,batch_rank10,262.1712,23.9449520111084,0.8215006091272958
146,PCA_rank10,21.764427,34.753334045410156,0.9722263613679034
146,SVD_rank10,0.0,inf,1.0
146,batch_rank10,247.5762,24.193714141845703,0.8230619902863986
147,PCA_rank10,28.081926,33.64653778076172,0.9661543548716935
147,SVD_rank10,0.0,inf,1.0
147,batch_rank10,206.7377,24.976606369018555,0.8364751361748841
148,PCA_rank10,48.404167,31.2819766998291,0.9481012863056514
148,SVD_rank10,0.0,inf,1.0
148,batch_rank10,205.80624,24.996219635009766,0.8394972376244342
149,PCA_rank10,50.273228,31.1174373626709,0.9490708767782554
149,SVD_rank10,0.0,inf,1.0
149,batch_rank10,206.99411,24.971221923828125,0.840039381689293
150,PCA_rank10,49.05625,31.223859786987305,0.9503345134950718
150,SVD_rank10,0.0,inf,1.0
150,batch_rank10,174.3026,25.71776580810547,0.8476833736270437
151,PCA_rank10,69.299324,29.723512649536133,0.9383046468294808
151,SVD_rank10,0.0,inf,1.0
151,batch_rank10,194.32355,25.24555015563965,0.8499841279358169
152,PCA_rank10,78.02036,29.208724975585938,0.934393702555872
152,SVD_rank10,0.0,inf,1.0
152,batch_rank10,192.0702,25.29620361328125,0.8541805028520905
153,PCA_rank10,86.68208,28.751508712768555,0.928572584831342
153,SVD_rank10,0.0,inf,1.0
153,batch_rank10,175.69786,25.683137893676758,0.8655518555992939
154,PCA_rank10,85.00286,28.836467742919922,0.9300057686534873
154,SVD_rank10,0.0,inf,1.0
154,batch_rank10,189.28848,25.359561920166016,0.8578193802322325
155,PCA_rank10,74.10932,29.43207550048828,0.93657221167598
155,SVD_rank10,0.0,inf,1.0
155,batch_rank10,210.52808,24.897705078125,0.8460460934153592
156,PCA_rank10,73.92443,29.442922592163086,0.9361694731303037
156,SVD_rank10,0.0,inf,1.0
156,batch_rank10,233.93547,24.439842224121094,0.8357843668348547
157,PCA_rank10,66.42984,29.90717124938965,0.9408243393526082
157,SVD_rank10,0.0,inf,1.0
157,batch_rank10,226.2172,24.585548400878906,0.8379063321706994
158,PCA_rank10,71.31615,29.59892463684082,0.9382134314251527
158,SVD_rank10,0.0,inf,1.0
158,batch_rank10,227.34625,24.56392478942871,0.8403155558241902
159,PCA_rank10,77.425575,29.241960525512695,0.9335829176680963
159,SVD_rank10,0.0,inf,1.0
159,batch_rank10,228.80042,24.536235809326172,0.8391889665105324
160,PCA_rank10,89.001564,28.63682746887207,0.9270295957340714
160,SVD_rank10,0.0,inf,1.0
160,batch_rank10,253.53902,24.090354919433594,0.8170936893800644
161,PCA_rank10,98.69745,28.187744140625,0.923901565355773
161,SVD_rank10,0.0,inf,1.0
161,batch_rank10,336.09006,22.866247177124023,0.7757128878983579
162,PCA_rank10,113.36594,27.585979461669922,0.9186190752393444
162,SVD_rank10,0.0,inf,1.0
162,batch_rank10,390.3949,22.215763092041016,0.7532113930359993
163,PCA_rank10,86.8088,28.74516487121582,0.9281080600588122
163,SVD_rank10,0.0,inf,1.0
163,batch_rank10,325.85974,23.00049591064453,0.791602840866921
164,PCA_rank10,60.5225,30.311634063720703,0.942276871242801
164,SVD_rank10,0.0,inf,1.0
164,batch_rank10,364.85458,22.509605407714844,0.7746683901634572
165,PCA_rank10,52.81078,30.90357780456543,0.9474960082416476
165,SVD_rank10,0.0,inf,1.0
